카테고리,바코드,제조사,상품명,제품 재질 1,제품 재질 2,제품 재질 3
라면,8801043014830,농심,농심신라면120G*5입,비닐류,,
라면,8801043015264,농심,농심올리브짜파게티140G*5입,비닐류,,
라면,8801043014786,농심,농심안성탕면125G*5입,비닐류,,
라면,8801045522265,오뚜기,오뚜기진라면매운맛120G*5입,비닐류,,
라면,8801043015011,농심,농심얼큰한너구리120G*5입,비닐류,,
라면,8801045522234,오뚜기,오뚜기진라면순한맛120G*5입,비닐류,,
라면,8809695251344,팔도,팔도 비빔면 4개입,비닐류,,
라면,8801043015684,농심,농심육개장사발면86G*6입,비닐류,스티로폼,
라면,8801043069663,농심,농심 신라면 더 레드 4개입,비닐류,,
라면,8801073143975,삼양식품,삼양_이춘삼짜장_128G*4입,비닐류,,
라면,8801045521077,오뚜기,오뚜기열라면120G*5입,비닐류,,
라면,8801073102545,삼양식품,삼양삼양라면120G*5입,비닐류,,
라면,8801043070126,(주)농심,농심 순하군 안성탕면 5개입,비닐류,,
라면,8801043015738,농심,농심신라면소컵65G*6입,비닐류,종이류,
라면,8801128503211,팔도,팔도왕뚜껑110G,플라스틱,스티로폼,
라면,8801045520759,오뚜기,오뚜기스낵면108G*5입,비닐류,,
라면,8801073140578,삼양식품,삼양불닭볶음면140G*5입,비닐류,,
라면,8801043047739,농심,농심신라면건면97G*5입,비닐류,,
라면,8801043015714,농심,농심신라면소컵65G,비닐류,,
라면,8801073210363,삼양식품,삼양불닭볶음면큰컵105G,비닐류,종이류,
라면,8801073211469,삼양식품,삼양까르보불닭볶음면큰컵105G,비닐류,종이류,
라면,8801043004282,농심,농심멸치칼국수98G*5입,비닐류,,
라면,8801043060370,농심,농심배홍동비빔면137G*4입,비닐류,,
라면,8801043021128,농심,농심김치사발면86G*6입,비닐류,스티로폼,
라면,8801043015653,농심,농심육개장사발면86G,비닐류,스티로폼,
라면,8801045662305,오뚜기,P)오뚜기_짜슐랭_145G*5입,비닐류,,
라면,8801043015981,농심,농심신라면큰사발114G,비닐류,종이류,
라면,8801045512518,(주)오뚜기,오뚜기 컵누들 마라탕 1개입,비닐류,종이류,
라면,8801045049182,오뚜기,오뚜기 마열라면 4개입,비닐류,,
라면,8801043015141,농심,농심오징어짬뽕124G*5입,비닐류,,
라면,8801045570419,오뚜기,오뚜기참깨라면큰컵110G,비닐류,종이류,
라면,8801043072038,농심,농심 먹태깡 큰사발 청양마요맛 1개입,비닐류,종이류,
라면,8801128503174,팔도,팔도도시락86G,비닐류,스티로폼,
라면,8801045526201,오뚜기,오뚜기참깨라면115G*4,비닐류,,
라면,8801043016070,농심,농심튀김우동큰사발111G,비닐류,종이류,
라면,8801043059794,농심,농심사천짜파게티137g*4입,비닐류,,
라면,8803060080805,백제물산,멸치맛쌀국수92G,비닐류,스티로폼,
라면,8801043014960,농심,농심순한너구리120G*5입,비닐류,,
라면,8801045522838,오뚜기,오뚜기진짬뽕130G*4입,비닐류,,
라면,8801128503488,팔도,팔도짬뽕왕뚜껑110G,플라스틱,스티로폼,
라면,8801043015967,농심,농심새우탕큰사발115G,비닐류,종이류,
라면,8801045570280,오뚜기,오뚜기진라면소컵매운맛65G*6입,비닐류,종이류,
